Fecha de partida,ELO,ELO_oponente,Color,Resultado
2024-01-06,1652,1632,Blanco,Victoria
2024-01-06,1644,1642,Blanco,Derrota
2024-01-06,1653,1701,Negro,Victoria
2024-01-06,1659,1548,Blanco,Victoria
2024-01-06,1666,1620,Blanco,Victoria
2024-01-06,1675,1695,Negro,Victoria
2024-01-06,1684,1712,Blanco,Victoria
2024-01-06,1693,1701,Negro,Victoria
2024-01-06,1685,1699,Negro,Derrota
2024-01-07,1693,1669,Blanco,Victoria
2024-01-07,1685,1683,Negro,Derrota
2024-01-07,1677,1687,Blanco,Derrota
2024-01-07,1668,1651,Negro,Derrota
2024-01-07,1659,1649,Blanco,Derrota
2024-01-07,1668,1679,Blanco,Victoria
2024-01-07,1660,1689,Negro,Derrota
2024-01-07,1668,1665,Blanco,Victoria
2024-01-07,1676,1640,Negro,Victoria
